county,cc,mc,date,year,month,fatalities,driver,passenger,pedestrian,cyclist,avg_12mo
Cumberland,6,,2019-04-01,2019,4,4,2,1,1,0,2.1
Cumberland,6,,2019-05-01,2019,5,2,2,0,0,0,2.2
Cumberland,6,,2019-07-01,2019,7,1,1,0,0,0,2.0
Cumberland,6,,2019-08-01,2019,8,3,2,0,1,0,2.1
Cumberland,6,,2019-09-01,2019,9,3,3,0,0,0,2.2
Cumberland,6,,2019-10-01,2019,10,1,1,0,0,0,2.0
Cumberland,6,,2019-11-01,2019,11,2,2,0,0,0,2.1
Cumberland,6,,2019-12-01,2019,12,2,2,0,0,0,2.2
Cumberland,6,,2020-01-01,2020,1,1,1,0,0,0,2.0
Cumberland,6,,2020-02-01,2020,2,1,0,0,1,0,2.0
Cumberland,6,,2020-03-01,2020,3,2,2,0,0,0,2.0
Cumberland,6,,2020-04-01,2020,4,2,1,1,0,0,2.0
Cumberland,6,,2020-05-01,2020,5,2,2,0,0,0,1.8
Cumberland,6,,2020-06-01,2020,6,2,1,0,1,0,1.8
Cumberland,6,,2020-07-01,2020,7,1,0,0,1,0,1.8
Cumberland,6,,2020-08-01,2020,8,1,0,1,0,0,1.7
Cumberland,6,,2020-09-01,2020,9,3,1,0,2,0,1.7
Cumberland,6,,2020-10-01,2020,10,1,1,0,0,0,1.7
Cumberland,6,,2020-11-01,2020,11,5,2,3,0,0,1.9
Cumberland,6,,2020-12-01,2020,12,3,3,0,0,0,2.0
Cumberland,6,,2021-02-01,2021,2,2,2,0,0,0,2.1
Cumberland,6,,2021-03-01,2021,3,3,3,0,0,0,2.2
Cumberland,6,,2021-04-01,2021,4,2,1,0,0,1,2.2
Cumberland,6,,2021-05-01,2021,5,2,0,1,1,0,2.2
Cumberland,6,,2021-06-01,2021,6,2,2,0,0,0,2.2
Cumberland,6,,2021-07-01,2021,7,3,0,0,3,0,2.3
Cumberland,6,,2021-08-01,2021,8,4,2,0,1,1,2.6
Cumberland,6,,2021-09-01,2021,9,4,3,0,1,0,2.8
Cumberland,6,,2021-11-01,2021,11,1,0,1,0,0,2.7
Cumberland,6,,2021-12-01,2021,12,5,4,0,1,0,3.0
Cumberland,6,,2022-01-01,2022,1,2,2,0,0,0,2.8
Cumberland,6,,2022-02-01,2022,2,2,2,0,0,0,2.7
Cumberland,6,,2022-05-01,2022,5,2,2,0,0,0,2.7
Cumberland,6,,2022-06-01,2022,6,1,1,0,0,0,2.5
Cumberland,6,,2022-07-01,2022,7,5,3,0,2,0,2.8
Cumberland,6,,2022-08-01,2022,8,3,2,1,0,0,2.8
Cumberland,6,,2022-09-01,2022,9,1,0,0,1,0,2.8
Cumberland,6,,2022-10-01,2022,10,3,2,0,1,0,2.8
Cumberland,6,,2022-12-01,2022,12,1,1,0,0,0,2.5
Cumberland,6,,2023-01-01,2023,1,1,1,0,0,0,2.2
Cumberland,6,,2023-02-01,2023,2,4,2,2,0,0,2.5
Cumberland,6,,2023-03-01,2023,3,2,1,0,1,0,2.2
Cumberland,6,,2023-04-01,2023,4,1,0,0,1,0,2.2
Cumberland,6,,2023-05-01,2023,5,1,0,0,1,0,2.1
Cumberland,6,,2023-06-01,2023,6,2,1,1,0,0,2.1
Cumberland,6,,2023-07-01,2023,7,2,1,1,0,0,2.2
Cumberland,6,,2023-08-01,2023,8,3,3,0,0,0,2.0
Cumberland,6,,2023-09-01,2023,9,1,1,0,0,0,1.8
Cumberland,6,,2023-11-01,2023,11,1,1,0,0,0,1.8
Cumberland,6,,2023-12-01,2023,12,4,2,1,1,0,1.9
Cumberland,6,,2024-01-01,2024,1,1,0,0,1,0,1.9
Cumberland,6,,2024-02-01,2024,2,1,1,0,0,0,1.9
Cumberland,6,,2024-03-01,2024,3,1,1,0,0,0,1.7
Cumberland,6,,2024-04-01,2024,4,1,0,1,0,0,1.6
Cumberland,6,,2024-05-01,2024,5,2,2,0,0,0,1.7
Cumberland,6,,2024-06-01,2024,6,5,3,1,1,0,2.0
Cumberland,6,,2024-08-01,2024,8,8,6,2,0,0,2.5
Cumberland,6,,2024-09-01,2024,9,5,2,2,1,0,2.8
Cumberland,6,,2024-10-01,2024,10,2,1,0,1,0,2.7
Cumberland,6,,2024-11-01,2024,11,2,1,0,1,0,2.8
Cumberland,6,,2024-12-01,2024,12,2,1,0,1,0,2.8
Cumberland,6,,2025-01-01,2025,1,1,0,0,1,0,2.6
Cumberland,6,,2025-02-01,2025,2,5,3,1,1,0,2.9
Cumberland,6,,2025-04-01,2025,4,1,0,1,0,0,2.9
Cumberland,6,,2025-05-01,2025,5,1,1,0,0,0,2.9
Cumberland,6,,2025-06-01,2025,6,2,1,0,1,0,3.0
Cumberland,6,,2025-07-01,2025,7,1,1,0,0,0,2.9
Cumberland,6,,2025-08-01,2025,8,2,2,0,0,0,2.7
Cumberland,6,,2025-09-01,2025,9,3,1,0,2,0,2.2
Cumberland,6,,2025-10-01,2025,10,1,0,0,1,0,1.9
Cumberland,6,,2025-11-01,2025,11,2,1,0,1,0,1.9
Cumberland,6,,2025-12-01,2025,12,3,1,1,1,0,2.0
Cumberland,6,,2026-02-01,2026,2,1,1,0,0,0,1.9
Cumberland,6,,2026-03-01,2026,3,1,0,0,1,0,1.9
Cumberland,6,,2026-04-01,2026,4,3,2,1,0,0,1.8
Essex,7,,2001-01-01,2001,1,6,2,2,1,1,6.0
Essex,7,,2001-02-01,2001,2,2,1,1,0,0,4.0
Essex,7,,2001-03-01,2001,3,6,2,2,2,0,4.7
Essex,7,,2001-04-01,2001,4,2,2,0,0,0,4.0
Essex,7,,2001-05-01,2001,5,3,3,0,0,0,3.8
Essex,7,,2001-06-01,2001,6,2,0,2,0,0,3.5
Essex,7,,2001-07-01,2001,7,10,6,2,2,0,4.4
Essex,7,,2001-08-01,2001,8,6,6,0,0,0,4.6
Essex,7,,2001-09-01,2001,9,4,2,1,1,0,4.6
Essex,7,,2001-10-01,2001,10,4,3,0,1,0,4.5
Essex,7,,2001-11-01,2001,11,5,1,0,4,0,4.5
Essex,7,,2001-12-01,2001,12,6,2,0,4,0,4.7
Essex,7,,2002-01-01,2002,1,5,2,2,1,0,4.6
Essex,7,,2002-02-01,2002,2,10,5,3,2,0,5.2
Essex,7,,2002-03-01,2002,3,5,4,1,0,0,5.2
Essex,7,,2002-04-01,2002,4,1,0,1,0,0,5.1
Essex,7,,2002-05-01,2002,5,7,1,2,4,0,5.4
Essex,7,,2002-06-01,2002,6,8,2,2,3,1,5.9
Essex,7,,2002-07-01,2002,7,7,4,3,0,0,5.7
Essex,7,,2002-08-01,2002,8,5,3,1,1,0,5.6
Essex,7,,2002-09-01,2002,9,7,4,2,1,0,5.8
Essex,7,,2002-10-01,2002,10,5,1,0,3,1,5.9
Essex,7,,2002-11-01,2002,11,2,1,0,1,0,5.7
Essex,7,,2002-12-01,2002,12,2,1,0,1,0,5.3
Essex,7,,2003-01-01,2003,1,6,2,1,3,0,5.4
Essex,7,,2003-02-01,2003,2,3,2,1,0,0,4.8
Essex,7,,2003-03-01,2003,3,6,2,2,2,0,4.9
Essex,7,,2003-04-01,2003,4,6,5,0,1,0,5.3
Essex,7,,2003-05-01,2003,5,5,4,0,1,0,5.2
Essex,7,,2003-06-01,2003,6,4,1,1,2,0,4.8
Essex,7,,2003-07-01,2003,7,2,1,0,1,0,4.4
Essex,7,,2003-08-01,2003,8,4,3,1,0,0,4.3
Essex,7,,2003-09-01,2003,9,8,4,2,2,0,4.4
Essex,7,,2003-10-01,2003,10,10,4,4,2,0,4.8
Essex,7,,2003-11-01,2003,11,5,3,2,0,0,5.1
Essex,7,,2003-12-01,2003,12,2,1,1,0,0,5.1
Essex,7,,2004-01-01,2004,1,4,2,1,1,0,4.9
Essex,7,,2004-02-01,2004,2,4,2,1,1,0,5.0
Essex,7,,2004-03-01,2004,3,4,2,1,1,0,4.8
Essex,7,,2004-04-01,2004,4,7,4,1,1,1,4.9
Essex,7,,2004-05-01,2004,5,3,3,0,0,0,4.8
Essex,7,,2004-06-01,2004,6,7,3,2,2,0,5.0
Essex,7,,2004-07-01,2004,7,5,4,0,0,1,5.2
Essex,7,,2004-08-01,2004,8,6,3,0,3,0,5.4
Essex,7,,2004-09-01,2004,9,5,2,2,1,0,5.2
Essex,7,,2004-10-01,2004,10,15,6,5,4,0,5.6
Essex,7,,2004-11-01,2004,11,3,1,1,1,0,5.4
Essex,7,,2004-12-01,2004,12,8,0,2,6,0,5.9
Essex,7,,2005-01-01,2005,1,1,1,0,0,0,5.7
Essex,7,,2005-02-01,2005,2,2,2,0,0,0,5.5
Essex,7,,2005-03-01,2005,3,7,5,1,1,0,5.8
Essex,7,,2005-04-01,2005,4,7,5,0,2,0,5.8
Essex,7,,2005-05-01,2005,5,5,1,1,3,0,5.9
Essex,7,,2005-06-01,2005,6,3,1,2,0,0,5.6
Essex,7,,2005-07-01,2005,7,2,0,0,2,0,5.3
Essex,7,,2005-08-01,2005,8,11,5,3,2,1,5.8
Essex,7,,2005-09-01,2005,9,7,2,1,4,0,5.9
Essex,7,,2005-10-01,2005,10,3,0,0,3,0,4.9
Essex,7,,2005-11-01,2005,11,6,4,1,1,0,5.2
Essex,7,,2005-12-01,2005,12,4,2,0,2,0,4.8
Essex,7,,2006-01-01,2006,1,4,1,2,1,0,5.1
Essex,7,,2006-03-01,2006,3,6,2,2,2,0,5.4
Essex,7,,2006-04-01,2006,4,7,4,3,0,0,5.4
Essex,7,,2006-05-01,2006,5,9,4,3,2,0,5.6
Essex,7,,2006-06-01,2006,6,3,1,1,1,0,5.4
Essex,7,,2006-07-01,2006,7,4,1,1,2,0,5.5
Essex,7,,2006-08-01,2006,8,4,3,0,1,0,5.7
Essex,7,,2006-09-01,2006,9,3,1,0,2,0,5.0
Essex,7,,2006-10-01,2006,10,8,1,2,5,0,5.1
Essex,7,,2006-11-01,2006,11,3,1,0,2,0,5.1
Essex,7,,2006-12-01,2006,12,1,1,0,0,0,4.7
Essex,7,,2007-01-01,2007,1,5,2,2,1,0,4.8
Essex,7,,2007-02-01,2007,2,3,1,0,2,0,4.7
Essex,7,,2007-03-01,2007,3,4,3,0,1,0,4.5
Essex,7,,2007-04-01,2007,4,3,2,1,0,0,4.2
Essex,7,,2007-05-01,2007,5,4,2,1,1,0,3.8
Essex,7,,2007-06-01,2007,6,3,1,0,2,0,3.8
Essex,7,,2007-07-01,2007,7,3,2,0,0,1,3.7
Essex,7,,2007-08-01,2007,8,5,3,0,2,0,3.8
Essex,7,,2007-09-01,2007,9,4,3,0,1,0,3.8
Essex,7,,2007-10-01,2007,10,10,5,1,4,0,4.0
Essex,7,,2007-11-01,2007,11,2,1,1,0,0,3.9
Essex,7,,2007-12-01,2007,12,3,0,0,2,1,4.1
Essex,7,,2008-01-01,2008,1,3,0,0,3,0,3.9
Essex,7,,2008-02-01,2008,2,1,0,0,1,0,3.8
Essex,7,,2008-03-01,2008,3,4,2,0,2,0,3.8
Essex,7,,2008-04-01,2008,4,4,1,3,0,0,3.8
Essex,7,,2008-05-01,2008,5,1,1,0,0,0,3.6
Essex,7,,2008-06-01,2008,6,4,4,0,0,0,3.7
Essex,7,,2008-07-01,2008,7,9,4,3,2,0,4.2
Essex,7,,2008-08-01,2008,8,4,1,1,1,1,4.1
Essex,7,,2008-09-01,2008,9,5,4,0,1,0,4.2
Essex,7,,2008-10-01,2008,10,4,0,2,2,0,3.7
Essex,7,,2008-11-01,2008,11,7,5,1,1,0,4.1
Essex,7,,2008-12-01,2008,12,3,1,1,1,0,4.1
Essex,7,,2009-01-01,2009,1,3,1,0,2,0,4.1
Essex,7,,2009-02-01,2009,2,7,2,0,5,0,4.6
Essex,7,,2009-03-01,2009,3,3,1,1,1,0,4.5
Essex,7,,2009-04-01,2009,4,1,0,0,1,0,4.2
Essex,7,,2009-06-01,2009,6,5,3,1,1,0,4.6
Essex,7,,2009-07-01,2009,7,5,3,1,1,0,4.7
Essex,7,,2009-08-01,2009,8,6,2,2,2,0,4.4
Essex,7,,2009-09-01,2009,9,1,1,0,0,0,4.2
Essex,7,,2009-10-01,2009,10,5,0,2,3,0,4.2
Essex,7,,2009-11-01,2009,11,2,0,0,2,0,4.0
Essex,7,,2009-12-01,2009,12,4,1,0,3,0,3.8
Essex,7,,2010-01-01,2010,1,3,2,1,0,0,3.8
Essex,7,,2010-02-01,2010,2,1,0,1,0,0,3.6
Essex,7,,2010-03-01,2010,3,3,1,0,2,0,3.2
Essex,7,,2010-04-01,2010,4,5,0,1,4,0,3.4
Essex,7,,2010-05-01,2010,5,1,0,0,1,0,3.4
Essex,7,,2010-06-01,2010,6,3,3,0,0,0,3.2
Essex,7,,2010-07-01,2010,7,4,3,0,1,0,3.2
Essex,7,,2010-08-01,2010,8,5,3,1,1,0,3.1
Essex,7,,2010-09-01,2010,9,6,2,1,3,0,3.5
Essex,7,,2010-11-01,2010,11,5,1,0,4,0,3.5
Essex,7,,2010-12-01,2010,12,5,1,2,2,0,3.8
Essex,7,,2011-01-01,2011,1,3,2,1,0,0,3.7
Essex,7,,2011-02-01,2011,2,4,2,0,2,0,3.8
Essex,7,,2011-03-01,2011,3,4,2,0,2,0,4.0
Essex,7,,2011-04-01,2011,4,6,2,0,4,0,4.2
Essex,7,,2011-05-01,2011,5,6,2,4,0,0,4.3
Essex,7,,2011-06-01,2011,6,9,4,1,4,0,5.0
Essex,7,,2011-07-01,2011,7,2,1,1,0,0,4.9
Essex,7,,2011-08-01,2011,8,3,2,1,0,0,4.8
Essex,7,,2011-09-01,2011,9,4,3,0,1,0,4.8
Essex,7,,2011-10-01,2011,10,5,3,0,2,0,4.7
Essex,7,,2011-11-01,2011,11,4,2,0,2,0,4.6
Essex,7,,2011-12-01,2011,12,2,1,0,1,0,4.3
Essex,7,,2012-01-01,2012,1,2,0,0,2,0,4.2
Essex,7,,2012-02-01,2012,2,3,0,1,1,1,4.2
Essex,7,,2012-03-01,2012,3,1,1,0,0,0,3.9
Essex,7,,2012-04-01,2012,4,3,0,0,2,1,3.7
Essex,7,,2012-05-01,2012,5,2,2,0,0,0,3.3
Essex,7,,2012-06-01,2012,6,5,1,2,2,0,3.0
Essex,7,,2012-07-01,2012,7,5,1,0,4,0,3.2
Essex,7,,2012-08-01,2012,8,4,1,1,2,0,3.3
Essex,7,,2012-09-01,2012,9,4,1,2,1,0,3.3
Essex,7,,2012-10-01,2012,10,4,1,0,3,0,3.2
Essex,7,,2012-11-01,2012,11,6,1,2,3,0,3.4
Essex,7,,2012-12-01,2012,12,2,0,0,2,0,3.4
Essex,7,,2013-01-01,2013,1,2,2,0,0,0,3.4
Essex,7,,2013-02-01,2013,2,1,0,0,1,0,3.2
Essex,7,,2013-03-01,2013,3,4,0,0,3,1,3.5
Essex,7,,2013-04-01,2013,4,3,2,0,1,0,3.5
Essex,7,,2013-05-01,2013,5,7,4,1,2,0,3.9
Essex,7,,2013-06-01,2013,6,3,3,0,0,0,3.8
Essex,7,,2013-07-01,2013,7,1,0,0,1,0,3.4
Essex,7,,2013-08-01,2013,8,5,2,3,0,0,3.5
Essex,7,,2013-09-01,2013,9,6,3,2,1,0,3.7
Essex,7,,2013-10-01,2013,10,5,2,1,2,0,3.8
Essex,7,,2013-11-01,2013,11,1,0,1,0,0,3.3
Essex,7,,2013-12-01,2013,12,2,0,0,2,0,3.3
Essex,7,,2014-01-01,2014,1,1,0,0,1,0,3.2
Essex,7,,2014-02-01,2014,2,2,0,0,2,0,3.3
Essex,7,,2014-03-01,2014,3,6,2,1,3,0,3.5
Essex,7,,2014-05-01,2014,5,5,1,2,1,1,3.7
Essex,7,,2014-06-01,2014,6,2,2,0,0,0,3.2
Essex,7,,2014-07-01,2014,7,5,2,2,1,0,3.4
Essex,7,,2014-08-01,2014,8,6,4,2,0,0,3.8
Essex,7,,2014-09-01,2014,9,4,1,0,3,0,3.8
Essex,7,,2014-10-01,2014,10,1,0,0,1,0,3.3
Essex,7,,2014-11-01,2014,11,3,1,1,1,0,3.2
Essex,7,,2014-12-01,2014,12,5,1,0,4,0,3.5
Essex,7,,2015-01-01,2015,1,2,0,0,2,0,3.5
Essex,7,,2015-02-01,2015,2,5,2,0,3,0,3.8
Essex,7,,2015-03-01,2015,3,2,1,0,1,0,3.8
Essex,7,,2015-04-01,2015,4,2,1,0,1,0,3.5
Essex,7,,2015-05-01,2015,5,1,0,0,1,0,3.2
Essex,7,,2015-06-01,2015,6,1,0,0,1,0,3.1
Essex,7,,2015-07-01,2015,7,4,2,0,2,0,3.0
Essex,7,,2015-08-01,2015,8,1,0,0,1,0,2.6
Essex,7,,2015-09-01,2015,9,8,3,1,4,0,2.9
Essex,7,,2015-10-01,2015,10,3,0,0,3,0,3.1
Essex,7,,2015-11-01,2015,11,6,2,1,3,0,3.3
Essex,7,,2015-12-01,2015,12,5,0,1,4,0,3.3
Essex,7,,2016-01-01,2016,1,4,1,1,2,0,3.5
Essex,7,,2016-02-01,2016,2,2,0,0,2,0,3.2
Essex,7,,2016-03-01,2016,3,1,1,0,0,0,3.2
Essex,7,,2016-04-01,2016,4,4,0,0,4,0,3.3
Essex,7,,2016-05-01,2016,5,8,3,0,5,0,3.9
Essex,7,,2016-06-01,2016,6,4,1,2,1,0,4.2
Essex,7,,2016-07-01,2016,7,1,1,0,0,0,3.9
Essex,7,,2016-08-01,2016,8,8,4,1,3,0,4.5
Essex,7,,2016-09-01,2016,9,3,1,0,1,1,4.1
Essex,7,,2016-11-01,2016,11,5,1,2,2,0,4.2
Essex,7,,2016-12-01,2016,12,6,4,0,2,0,4.2
Essex,7,,2017-01-01,2017,1,6,0,1,5,0,4.3
Essex,7,,2017-03-01,2017,3,3,0,0,3,0,4.2
Essex,7,,2017-04-01,2017,4,2,2,0,0,0,4.2
Essex,7,,2017-05-01,2017,5,3,1,1,1,0,4.4
Essex,7,,2017-06-01,2017,6,7,1,0,5,1,4.7
Essex,7,,2017-07-01,2017,7,5,2,1,2,0,4.4
Essex,7,,2017-08-01,2017,8,1,1,0,0,0,4.2
Essex,7,,2017-09-01,2017,9,1,0,0,1,0,4.2
Essex,7,,2017-10-01,2017,10,7,4,0,3,0,4.1
Essex,7,,2017-11-01,2017,11,2,1,0,1,0,4.0
Essex,7,,2017-12-01,2017,12,3,2,0,1,0,3.8
Essex,7,,2018-01-01,2018,1,5,2,0,3,0,3.8
Essex,7,,2018-02-01,2018,2,4,1,0,3,0,3.6
Essex,7,,2018-03-01,2018,3,3,0,1,2,0,3.6
Essex,7,,2018-05-01,2018,5,2,1,0,1,0,3.6
Essex,7,,2018-06-01,2018,6,3,2,1,0,0,3.6
Essex,7,,2018-07-01,2018,7,6,0,1,4,1,3.5
Essex,7,,2018-08-01,2018,8,2,1,0,1,0,3.2
Essex,7,,2018-09-01,2018,9,6,2,0,3,1,3.7
Essex,7,,2018-10-01,2018,10,4,1,1,2,0,3.9
Essex,7,,2018-11-01,2018,11,9,3,1,5,0,4.1
Essex,7,,2018-12-01,2018,12,1,0,0,1,0,4.0
Essex,7,,2019-01-01,2019,1,5,0,2,3,0,4.2
Essex,7,,2019-02-01,2019,2,6,2,0,4,0,4.2
Essex,7,,2019-03-01,2019,3,3,2,0,1,0,4.2
Essex,7,,2019-04-01,2019,4,3,3,0,0,0,4.2
Essex,7,,2019-05-01,2019,5,1,0,0,1,0,4.1
Essex,7,,2019-06-01,2019,6,2,1,0,1,0,4.0
Essex,7,,2019-07-01,2019,7,1,1,0,0,0,3.6
Essex,7,,2019-08-01,2019,8,4,3,1,0,0,3.8
Essex,7,,2019-09-01,2019,9,2,1,0,1,0,3.4
Essex,7,,2019-10-01,2019,10,4,1,0,3,0,3.4
Essex,7,,2019-11-01,2019,11,1,0,0,1,0,2.8
Essex,7,,2019-12-01,2019,12,4,0,1,3,0,3.0
Essex,7,,2020-01-01,2020,1,4,1,2,1,0,2.9
Essex,7,,2020-02-01,2020,2,2,1,0,1,0,2.6
Essex,7,,2020-03-01,2020,3,1,0,0,1,0,2.4
Essex,7,,2020-05-01,2020,5,3,1,0,2,0,2.4
Essex,7,,2020-06-01,2020,6,5,2,3,0,0,2.8
Essex,7,,2020-07-01,2020,7,2,1,0,0,1,2.8
Essex,7,,2020-08-01,2020,8,7,2,4,1,0,3.2
Essex,7,,2020-09-01,2020,9,6,3,1,2,0,3.4
Essex,7,,2020-10-01,2020,10,6,1,2,2,1,3.8
Essex,7,,2020-11-01,2020,11,6,2,0,3,1,3.9
Essex,7,,2020-12-01,2020,12,3,2,0,1,0,4.1
Essex,7,,2021-01-01,2021,1,4,1,0,3,0,4.1
Essex,7,,2021-02-01,2021,2,1,1,0,0,0,3.8
Essex,7,,2021-03-01,2021,3,5,3,1,1,0,4.1
Essex,7,,2021-04-01,2021,4,1,0,0,1,0,4.1
Essex,7,,2021-05-01,2021,5,5,1,1,2,1,4.2
Essex,7,,2021-06-01,2021,6,10,4,0,6,0,4.7
Essex,7,,2021-07-01,2021,7,5,3,0,1,1,4.9
Essex,7,,2021-08-01,2021,8,10,6,1,3,0,5.2
Essex,7,,2021-09-01,2021,9,5,3,0,2,0,5.1
Essex,7,,2021-10-01,2021,10,8,0,1,6,1,5.2
Essex,7,,2021-11-01,2021,11,4,0,1,3,0,5.1
Essex,7,,2021-12-01,2021,12,3,0,0,3,0,5.1
Essex,7,,2022-01-01,2022,1,1,0,0,1,0,4.8
Essex,7,,2022-02-01,2022,2,2,1,0,1,0,4.9
Essex,7,,2022-03-01,2022,3,5,3,1,1,0,4.9
Essex,7,,2022-04-01,2022,4,4,2,0,2,0,5.2
Essex,7,,2022-05-01,2022,5,5,3,1,1,0,5.2
Essex,7,,2022-06-01,2022,6,6,3,0,3,0,4.8
Essex,7,,2022-07-01,2022,7,8,4,3,1,0,5.1
Essex,7,,2022-08-01,2022,8,5,4,1,0,0,4.7
Essex,7,,2022-09-01,2022,9,5,1,2,2,0,4.7
Essex,7,,2022-10-01,2022,10,3,1,0,2,0,4.2
Essex,7,,2022-11-01,2022,11,8,3,1,4,0,4.6
Essex,7,,2022-12-01,2022,12,4,1,0,3,0,4.7
Essex,7,,2023-01-01,2023,1,6,1,1,4,0,5.1
Essex,7,,2023-02-01,2023,2,1,1,0,0,0,5.0
Essex,7,,2023-03-01,2023,3,3,2,0,1,0,4.8
Essex,7,,2023-04-01,2023,4,5,4,1,0,0,4.9
Essex,7,,2023-05-01,2023,5,2,1,0,1,0,4.7
Essex,7,,2023-06-01,2023,6,8,4,1,2,1,4.8
Essex,7,,2023-07-01,2023,7,3,1,0,2,0,4.4
Essex,7,,2023-08-01,2023,8,2,2,0,0,0,4.2
Essex,7,,2023-09-01,2023,9,5,3,0,2,0,4.2
Essex,7,,2023-10-01,2023,10,7,1,0,6,0,4.5
Essex,7,,2023-11-01,2023,11,7,2,2,3,0,4.4
Essex,7,,2023-12-01,2023,12,4,1,0,2,1,4.4
Essex,7,,2024-01-01,2024,1,3,0,0,3,0,4.2
Essex,7,,2024-02-01,2024,2,5,2,1,2,0,4.5
Essex,7,,2024-03-01,2024,3,5,2,1,2,0,4.7
Essex,7,,2024-04-01,2024,4,4,3,1,0,0,4.6
Essex,7,,2024-05-01,2024,5,4,0,0,4,0,4.8
Essex,7,,2024-06-01,2024,6,5,2,0,3,0,4.5
Essex,7,,2024-07-01,2024,7,4,2,0,2,0,4.6
Essex,7,,2024-08-01,2024,8,4,3,0,1,0,4.8
Essex,7,,2024-10-01,2024,10,10,4,2,4,0,5.2
Essex,7,,2024-11-01,2024,11,2,0,0,2,0,4.8
Essex,7,,2024-12-01,2024,12,9,1,5,3,0,4.9
Essex,7,,2025-02-01,2025,2,1,0,0,1,0,4.7
Essex,7,,2025-03-01,2025,3,4,0,0,3,1,4.8
Essex,7,,2025-04-01,2025,4,7,2,2,3,0,4.9
Essex,7,,2025-05-01,2025,5,2,1,0,1,0,4.7
Essex,7,,2025-06-01,2025,6,4,0,2,2,0,4.7
Essex,7,,2025-07-01,2025,7,6,2,0,4,0,4.8
Essex,7,,2025-08-01,2025,8,5,2,0,3,0,4.8
Essex,7,,2025-09-01,2025,9,5,2,0,3,0,4.9
Essex,7,,2025-10-01,2025,10,3,1,0,2,0,4.8
Essex,7,,2025-11-01,2025,11,3,0,1,2,0,4.2
Essex,7,,2025-12-01,2025,12,4,2,0,2,0,4.4
Essex,7,,2026-01-01,2026,1,3,0,0,3,0,3.9
Essex,7,,2026-02-01,2026,2,2,1,0,1,0,4.0
Essex,7,,2026-03-01,2026,3,5,2,0,3,0,4.1
Essex,7,,2026-04-01,2026,4,6,2,1,3,0,4.0
Gloucester,8,,2001-01-01,2001,1,1,1,0,0,0,1.0
Gloucester,8,,2001-02-01,2001,2,7,5,2,0,0,4.0
Gloucester,8,,2001-03-01,2001,3,2,2,0,0,0,3.3
Gloucester,8,,2001-04-01,2001,4,4,1,2,0,1,3.5
Gloucester,8,,2001-05-01,2001,5,4,2,2,0,0,3.6
Gloucester,8,,2001-06-01,2001,6,5,2,2,1,0,3.8
Gloucester,8,,2001-07-01,2001,7,3,3,0,0,0,3.7
Gloucester,8,,2001-08-01,2001,8,4,3,0,0,1,3.8
Gloucester,8,,2001-09-01,2001,9,1,0,1,0,0,3.4
Gloucester,8,,2001-10-01,2001,10,3,1,2,0,0,3.4
Gloucester,8,,2001-11-01,2001,11,1,1,0,0,0,3.2
Gloucester,8,,2001-12-01,2001,12,5,4,1,0,0,3.3
Gloucester,8,,2002-01-01,2002,1,5,2,1,2,0,3.7
Gloucester,8,,2002-02-01,2002,2,2,1,0,1,0,3.2
Gloucester,8,,2002-03-01,2002,3,1,1,0,0,0,3.2
Gloucester,8,,2002-04-01,2002,4,1,1,0,0,0,2.9
Gloucester,8,,2002-05-01,2002,5,2,2,0,0,0,2.8
Gloucester,8,,2002-06-01,2002,6,7,4,3,0,0,2.9
Gloucester,8,,2002-07-01,2002,7,4,4,0,0,0,3.0
Gloucester,8,,2002-09-01,2002,9,4,2,1,1,0,3.0
Gloucester,8,,2002-10-01,2002,10,6,2,2,2,0,3.4
Gloucester,8,,2002-11-01,2002,11,3,0,1,2,0,3.4
Gloucester,8,,2002-12-01,2002,12,1,1,0,0,0,3.4
Gloucester,8,,2003-01-01,2003,1,2,2,0,0,0,3.2
Gloucester,8,,2003-04-01,2003,4,3,2,1,0,0,3.0
Gloucester,8,,2003-05-01,2003,5,3,2,1,0,0,3.1
Gloucester,8,,2003-06-01,2003,6,6,2,3,1,0,3.5
Gloucester,8,,2003-07-01,2003,7,1,1,0,0,0,3.5
Gloucester,8,,2003-08-01,2003,8,5,2,3,0,0,3.8
Gloucester,8,,2003-09-01,2003,9,3,2,1,0,0,3.4
Gloucester,8,,2003-10-01,2003,10,5,5,0,0,0,3.5
Gloucester,8,,2003-11-01,2003,11,2,2,0,0,0,3.3
Gloucester,8,,2004-01-01,2004,1,1,1,0,0,0,2.9
Gloucester,8,,2004-02-01,2004,2,2,2,0,0,0,2.8
Gloucester,8,,2004-03-01,2004,3,1,0,1,0,0,2.8
Gloucester,8,,2004-04-01,2004,4,1,0,1,0,0,2.8
Gloucester,8,,2004-05-01,2004,5,1,1,0,0,0,2.6
Gloucester,8,,2004-06-01,2004,6,2,2,0,0,0,2.5
Gloucester,8,,2004-07-01,2004,7,3,3,0,0,0,2.2
Gloucester,8,,2004-08-01,2004,8,2,1,1,0,0,2.3
Gloucester,8,,2004-09-01,2004,9,6,5,1,0,0,2.4
Gloucester,8,,2004-10-01,2004,10,1,1,0,0,0,2.2
Gloucester,8,,2004-11-01,2004,11,1,0,0,1,0,1.9
Gloucester,8,,2004-12-01,2004,12,5,4,1,0,0,2.2
Gloucester,8,,2005-01-01,2005,1,1,1,0,0,0,2.2
Gloucester,8,,2005-03-01,2005,3,1,1,0,0,0,2.1
